"feature_id"	"canonical_gene_id"	"annotation_gene_id"	"common_name"	"synonyms"	"description"	"display_label"	"search_tokens"
"LotjaGi1g1v0010300"	"LotjaGi1g1v0010300"					"LotjaGi1g1v0010300"	"LotjaGi1g1v0010300"
"LotjaGi1g1v0010400"	"LotjaGi1g1v0010400"					"LotjaGi1g1v0010400"	"LotjaGi1g1v0010400"
"LotjaGi1g1v0010500"	"LotjaGi1g1v0010500"					"LotjaGi1g1v0010500"	"LotjaGi1g1v0010500"
"LotjaGi1g1v0010700"	"LotjaGi1g1v0010700"					"LotjaGi1g1v0010700"	"LotjaGi1g1v0010700"
"LotjaGi1g1v0010800"	"LotjaGi1g1v0010800"					"LotjaGi1g1v0010800"	"LotjaGi1g1v0010800"
"LotjaGi1g1v0010900"	"LotjaGi1g1v0010900"					"LotjaGi1g1v0010900"	"LotjaGi1g1v0010900"
"LotjaGi1g1v0011000"	"LotjaGi1g1v0011000"					"LotjaGi1g1v0011000"	"LotjaGi1g1v0011000"
"LotjaGi1g1v0011100"	"LotjaGi1g1v0011100"					"LotjaGi1g1v0011100"	"LotjaGi1g1v0011100"
"LotjaGi1g1v0011200"	"LotjaGi1g1v0011200"					"LotjaGi1g1v0011200"	"LotjaGi1g1v0011200"
"LotjaGi1g1v0011300"	"LotjaGi1g1v0011300"					"LotjaGi1g1v0011300"	"LotjaGi1g1v0011300"
"LotjaGi1g1v0011400"	"LotjaGi1g1v0011400"					"LotjaGi1g1v0011400"	"LotjaGi1g1v0011400"
"LotjaGi1g1v0011500"	"LotjaGi1g1v0011500"					"LotjaGi1g1v0011500"	"LotjaGi1g1v0011500"
"LotjaGi1g1v0011600"	"LotjaGi1g1v0011600"					"LotjaGi1g1v0011600"	"LotjaGi1g1v0011600"
"LotjaGi1g1v0011650"	"LotjaGi1g1v0011650"					"LotjaGi1g1v0011650"	"LotjaGi1g1v0011650"
"LotjaGi1g1v0011700"	"LotjaGi1g1v0011700"					"LotjaGi1g1v0011700"	"LotjaGi1g1v0011700"
"LotjaGi1g1v0011800"	"LotjaGi1g1v0011800"					"LotjaGi1g1v0011800"	"LotjaGi1g1v0011800"
"LotjaGi1g1v0011900-LC"	"LotjaGi1g1v0011900-LC"					"LotjaGi1g1v0011900-LC"	"LotjaGi1g1v0011900-LC"
"LotjaGi1g1v0012300-LC"	"LotjaGi1g1v0012300-LC"					"LotjaGi1g1v0012300-LC"	"LotjaGi1g1v0012300-LC"
"LotjaGi1g1v0012400"	"LotjaGi1g1v0012400"					"LotjaGi1g1v0012400"	"LotjaGi1g1v0012400"
