"canonical_gene_id"	"feature_id"
"MtrunA17Chr2g0279491"	"MtrunA17Chr2g0279491"
"MtrunA17Chr2g0279511"	"MtrunA17Chr2g0279511"
"MtrunA17Chr2g0279611"	"MtrunA17Chr2g0279611"
"MtrunA17Chr2g0279701"	"MtrunA17Chr2g0279701"
"MtrunA17Chr2g0279751"	"MtrunA17Chr2g0279751"
"MtrunA17Chr2g0279761"	"MtrunA17Chr2g0279761"
"MtrunA17Chr2g0279821"	"MtrunA17Chr2g0279821"
"MtrunA17Chr2g0279871"	"MtrunA17Chr2g0279871"
"MtrunA17Chr2g0280191"	"MtrunA17Chr2g0280191"
"MtrunA17Chr2g0280211"	"MtrunA17Chr2g0280211"
"MtrunA17Chr2g0280271"	"MtrunA17Chr2g0280271"
"MtrunA17Chr2g0280401"	"MtrunA17Chr2g0280401"
"MtrunA17Chr2g0280591"	"MtrunA17Chr2g0280591"
"MtrunA17Chr2g0280681"	"MtrunA17Chr2g0280681"
"MtrunA17Chr2g0281171"	"MtrunA17Chr2g0281171"
"MtrunA17Chr2g0281331"	"MtrunA17Chr2g0281331"
"MtrunA17Chr2g0281581"	"MtrunA17Chr2g0281581"
"MtrunA17Chr2g0282091"	"MtrunA17Chr2g0282091"
"MtrunA17Chr2g0282131"	"MtrunA17Chr2g0282131"
"MtrunA17Chr2g0282161"	"MtrunA17Chr2g0282161"
"MtrunA17Chr2g0282251"	"MtrunA17Chr2g0282251"
"MtrunA17Chr2g0282721"	"MtrunA17Chr2g0282721"
"MtrunA17Chr2g0282731"	"MtrunA17Chr2g0282731"
"MtrunA17Chr2g0282831"	"MtrunA17Chr2g0282831"
"MtrunA17Chr2g0283151"	"MtrunA17Chr2g0283151"
"MtrunA17Chr2g0283471"	"MtrunA17Chr2g0283471"
"MtrunA17Chr2g0283891"	"MtrunA17Chr2g0283891"
"MtrunA17Chr2g0284061"	"MtrunA17Chr2g0284061"
"MtrunA17Chr2g0284101"	"MtrunA17Chr2g0284101"
"MtrunA17Chr2g0284221"	"MtrunA17Chr2g0284221"
"MtrunA17Chr2g0284241"	"MtrunA17Chr2g0284241"
"MtrunA17Chr2g0284491"	"MtrunA17Chr2g0284491"
"MtrunA17Chr2g0284561"	"MtrunA17Chr2g0284561"
"MtrunA17Chr2g0284901"	"MtrunA17Chr2g0284901"
"MtrunA17Chr2g0285181"	"MtrunA17Chr2g0285181"
"MtrunA17Chr2g0285711"	"MtrunA17Chr2g0285711"
"MtrunA17Chr2g0285781"	"MtrunA17Chr2g0285781"
"MtrunA17Chr2g0286181"	"MtrunA17Chr2g0286181"
"MtrunA17Chr2g0286291"	"MtrunA17Chr2g0286291"
"MtrunA17Chr2g0287281"	"MtrunA17Chr2g0287281"
"MtrunA17Chr2g0287431"	"MtrunA17Chr2g0287431"
"MtrunA17Chr2g0287701"	"MtrunA17Chr2g0287701"
"MtrunA17Chr2g0288371"	"MtrunA17Chr2g0288371"
"MtrunA17Chr2g0288841"	"MtrunA17Chr2g0288841"
"MtrunA17Chr2g0288891"	"MtrunA17Chr2g0288891"
"MtrunA17Chr2g0289721"	"MtrunA17Chr2g0289721"
"MtrunA17Chr2g0289791"	"MtrunA17Chr2g0289791"
"MtrunA17Chr2g0290391"	"MtrunA17Chr2g0290391"
"MtrunA17Chr2g0290451"	"MtrunA17Chr2g0290451"
"MtrunA17Chr2g0290711"	"MtrunA17Chr2g0290711"
"MtrunA17Chr2g0290981"	"MtrunA17Chr2g0290981"
"MtrunA17Chr2g0291441"	"MtrunA17Chr2g0291441"
"MtrunA17Chr2g0291491"	"MtrunA17Chr2g0291491"
"MtrunA17Chr2g0291611"	"MtrunA17Chr2g0291611"
"MtrunA17Chr2g0291701"	"MtrunA17Chr2g0291701"
"MtrunA17Chr2g0291781"	"MtrunA17Chr2g0291781"
"MtrunA17Chr2g0291941"	"MtrunA17Chr2g0291941"
"MtrunA17Chr2g0292341"	"MtrunA17Chr2g0292341"
"MtrunA17Chr2g0292941"	"MtrunA17Chr2g0292941"
"MtrunA17Chr2g0292971"	"MtrunA17Chr2g0292971"
"MtrunA17Chr2g0293091"	"MtrunA17Chr2g0293091"
"MtrunA17Chr2g0293811"	"MtrunA17Chr2g0293811"
"MtrunA17Chr2g0293971"	"MtrunA17Chr2g0293971"
"MtrunA17Chr2g0294341"	"MtrunA17Chr2g0294341"
"MtrunA17Chr2g0294411"	"MtrunA17Chr2g0294411"
"MtrunA17Chr2g0294601"	"MtrunA17Chr2g0294601"
"MtrunA17Chr2g0294631"	"MtrunA17Chr2g0294631"
"MtrunA17Chr2g0294701"	"MtrunA17Chr2g0294701"
"MtrunA17Chr2g0294841"	"MtrunA17Chr2g0294841"
"MtrunA17Chr2g0295211"	"MtrunA17Chr2g0295211"
"MtrunA17Chr2g0295391"	"MtrunA17Chr2g0295391"
"MtrunA17Chr2g0295571"	"MtrunA17Chr2g0295571"
"MtrunA17Chr2g0295941"	"MtrunA17Chr2g0295941"
"MtrunA17Chr2g0295991"	"MtrunA17Chr2g0295991"
"MtrunA17Chr2g0296021"	"MtrunA17Chr2g0296021"
"MtrunA17Chr2g0296821"	"MtrunA17Chr2g0296821"
"MtrunA17Chr2g0296901"	"MtrunA17Chr2g0296901"
"MtrunA17Chr2g0296931"	"MtrunA17Chr2g0296931"
"MtrunA17Chr2g0296991"	"MtrunA17Chr2g0296991"
"MtrunA17Chr2g0297041"	"MtrunA17Chr2g0297041"
"MtrunA17Chr2g0297051"	"MtrunA17Chr2g0297051"
"MtrunA17Chr2g0297261"	"MtrunA17Chr2g0297261"
"MtrunA17Chr2g0297871"	"MtrunA17Chr2g0297871"
"MtrunA17Chr2g0297971"	"MtrunA17Chr2g0297971"
"MtrunA17Chr2g0298601"	"MtrunA17Chr2g0298601"
"MtrunA17Chr2g0298751"	"MtrunA17Chr2g0298751"
"MtrunA17Chr2g0298871"	"MtrunA17Chr2g0298871"
"MtrunA17Chr2g0299631"	"MtrunA17Chr2g0299631"
"MtrunA17Chr2g0300321"	"MtrunA17Chr2g0300321"
"MtrunA17Chr2g0300611"	"MtrunA17Chr2g0300611"
"MtrunA17Chr2g0300641"	"MtrunA17Chr2g0300641"
"MtrunA17Chr2g0300801"	"MtrunA17Chr2g0300801"
"MtrunA17Chr2g0301291"	"MtrunA17Chr2g0301291"
"MtrunA17Chr2g0301601"	"MtrunA17Chr2g0301601"
"MtrunA17Chr2g0301891"	"MtrunA17Chr2g0301891"
"MtrunA17Chr2g0302031"	"MtrunA17Chr2g0302031"
"MtrunA17Chr2g0302451"	"MtrunA17Chr2g0302451"
"MtrunA17Chr2g0302621"	"MtrunA17Chr2g0302621"
"MtrunA17Chr2g0302631"	"MtrunA17Chr2g0302631"
"MtrunA17Chr2g0302931"	"MtrunA17Chr2g0302931"
"MtrunA17Chr2g0303151"	"MtrunA17Chr2g0303151"
"MtrunA17Chr2g0303251"	"MtrunA17Chr2g0303251"
"MtrunA17Chr2g0303911"	"MtrunA17Chr2g0303911"
"MtrunA17Chr2g0304261"	"MtrunA17Chr2g0304261"
"MtrunA17Chr2g0304871"	"MtrunA17Chr2g0304871"
"MtrunA17Chr2g0304951"	"MtrunA17Chr2g0304951"
"MtrunA17Chr2g0305361"	"MtrunA17Chr2g0305361"
"MtrunA17Chr2g0305631"	"MtrunA17Chr2g0305631"
"MtrunA17Chr2g0305781"	"MtrunA17Chr2g0305781"
"MtrunA17Chr2g0306401"	"MtrunA17Chr2g0306401"
"MtrunA17Chr2g0306771"	"MtrunA17Chr2g0306771"
"MtrunA17Chr2g0307011"	"MtrunA17Chr2g0307011"
"MtrunA17Chr2g0307481"	"MtrunA17Chr2g0307481"
"MtrunA17Chr2g0307671"	"MtrunA17Chr2g0307671"
"MtrunA17Chr2g0307871"	"MtrunA17Chr2g0307871"
